times for the transaction 
Execution time: 0.05228137969970703 seconds
Execution time: 0.05336117744445801 seconds
Execution time: 0.07823920249938965 seconds
Execution time: 0.06110811233520508 seconds
Execution time: 0.05182075500488281 seconds
Execution time: 0.06521224975585938 seconds
Execution time: 0.049140214920043945 seconds
Execution time: 0.04972219467163086 seconds
Execution time: 0.0659177303314209 seconds
Execution time: 0.050742387771606445 seconds
Execution time: 0.06676030158996582 seconds
Execution time: 0.05911660194396973 seconds
Execution time: 0.05219459533691406 seconds
Execution time: 0.05144238471984863 seconds
Execution time: 0.05118703842163086 seconds
Execution time: 0.051619768142700195 seconds
Execution time: 0.048149824142456055 seconds
Execution time: 0.05109286308288574 seconds
Execution time: 0.04911065101623535 seconds
Execution time: 0.04874992370605469 seconds
Execution time: 0.051123619079589844 seconds
Execution time: 0.06966543197631836 seconds
Execution time: 0.050718069076538086 seconds
Execution time: 0.05731606483459473 seconds
Execution time: 0.06163740158081055 seconds
Execution time: 0.05144238471984863 seconds
Execution time: 0.0692741870880127 seconds
Execution time: 0.06356239318847656 seconds
Execution time: 0.049959421157836914 seconds
Execution time: 0.05139303207397461 seconds
Execution time: 0.052907705307006836 seconds
Execution time: 0.05275297164916992 seconds
Execution time: 0.052873849868774414 seconds
Execution time: 0.05392932891845703 seconds
Execution time: 0.05037236213684082 seconds
Execution time: 0.0693061351776123 seconds
Execution time: 0.05927133560180664 seconds
Execution time: 0.052385807037353516 seconds
Execution time: 0.0524439811706543 seconds
Execution time: 0.05213427543640137 seconds
Execution time: 0.050879716873168945 seconds
Execution time: 0.05309128761291504 seconds
Execution time: 0.05295610427856445 seconds
Execution time: 0.05226588249206543 seconds
Execution time: 0.053215742111206055 seconds
Execution time: 0.052667856216430664 seconds
Execution time: 0.0642251968383789 seconds
Execution time: 0.05183076858520508 seconds
Execution time: 0.07177519798278809 seconds
Execution time: 0.06431221961975098 seconds
Execution time: 0.05331873893737793 seconds
Execution time: 0.05094504356384277 seconds
Execution time: 0.07053971290588379 seconds
Execution time: 0.054645538330078125 seconds
Execution time: 0.05458712577819824 seconds
Execution time: 0.05687546730041504 seconds
Execution time: 0.04809880256652832 seconds
Execution time: 0.05021548271179199 seconds
Execution time: 0.06651449203491211 seconds
Execution time: 0.05286812782287598 seconds
Execution time: 0.05110430717468262 seconds
Execution time: 0.05279040336608887 seconds
Execution time: 0.04928851127624512 seconds
Execution time: 0.05070638656616211 seconds
Execution time: 0.05250239372253418 seconds
Execution time: 0.05156540870666504 seconds
Execution time: 0.055468082427978516 seconds
Execution time: 0.05126380920410156 seconds
Execution time: 0.05074477195739746 seconds
Execution time: 0.06366419792175293 seconds
Execution time: 0.05124378204345703 seconds
Execution time: 0.05515313148498535 seconds
Execution time: 0.04957842826843262 seconds
Execution time: 0.05029869079589844 seconds
Execution time: 0.05324125289916992 seconds
Execution time: 0.05082583427429199 seconds
Execution time: 0.050425052642822266 seconds
Execution time: 0.0506134033203125 seconds
Execution time: 0.04859352111816406 seconds
Execution time: 0.050690650939941406 seconds
Execution time: 0.07073044776916504 seconds
Execution time: 0.053110599517822266 seconds
Execution time: 0.05211472511291504 seconds
Execution time: 0.05324053764343262 seconds
Execution time: 0.049777984619140625 seconds
Execution time: 0.05237174034118652 seconds
Execution time: 0.05237317085266113 seconds
Execution time: 0.05263519287109375 seconds
Execution time: 0.05042099952697754 seconds
Execution time: 0.05510258674621582 seconds
Execution time: 0.06374263763427734 seconds
Execution time: 0.050661325454711914 seconds
Execution time: 0.054003238677978516 seconds
Execution time: 0.06774353981018066 seconds
Execution time: 0.05029749870300293 seconds
Execution time: 0.050569772720336914 seconds
Execution time: 0.06931734085083008 seconds
Execution time: 0.0658562183380127 seconds
Execution time: 0.05348467826843262 seconds
Execution time: 0.06689071655273438 seconds
Execution time: 0.0471653938293457 seconds
Execution time: 0.0502469539642334 seconds
Execution time: 0.06560540199279785 seconds
Execution time: 0.05069732666015625 seconds
Execution time: 0.06690359115600586 seconds
Execution time: 0.07221245765686035 seconds
Execution time: 0.05133533477783203 seconds
Execution time: 0.07256817817687988 seconds
Execution time: 0.057342529296875 seconds
Execution time: 0.05387687683105469 seconds
Execution time: 0.05773782730102539 seconds
Execution time: 0.05617094039916992 seconds
Execution time: 0.07102131843566895 seconds
Execution time: 0.05402183532714844 seconds
Execution time: 0.053180694580078125 seconds
Execution time: 0.0722646713256836 seconds
Execution time: 0.050673484802246094 seconds
Execution time: 0.05358576774597168 seconds
Execution time: 0.06436538696289062 seconds
Execution time: 0.05243515968322754 seconds
Execution time: 0.054494380950927734 seconds
Execution time: 0.07031846046447754 seconds
Execution time: 0.04998779296875 seconds
Execution time: 0.05384516716003418 seconds
Execution time: 0.06014752388000488 seconds
Execution time: 0.0630807876586914 seconds
Execution time: 0.0572054386138916 seconds
Execution time: 0.0844109058380127 seconds
Execution time: 0.05936288833618164 seconds
